accession;gtdb_taxonomy;lsu_silva_23s_taxonomy;ncbi_organism_name;ncbi_taxonomy;ssu_silva_taxonomy
18808;GCF_001515845.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
126090;GCF_001515915.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
23402;GCF_001516005.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa M18;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
89848;GCF_001516105.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
13260;GCF_001516165.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa PAO1H2O;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
78901;GCF_001516185.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
120958;GCF_001516205.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
77951;GCF_001516225.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa YL84;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
23241;GCF_001516245.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa YL84;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
109514;GCF_001516265.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
114732;GCF_001516305.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa MTB-1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
10199;GCF_001516325.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa MTB-1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
117035;GCF_001516345.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa PAO1H2O;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
36738;GCF_001516365.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa 148;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
126444;GCF_001516385.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa 148;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
143400;GCF_001518975.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
109268;GCF_001542795.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
4856;GCF_001542835.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa YL84;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
1034;GCF_001547955.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa BWHPSA009;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
67419;GCF_001548135.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa PACS2;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
43197;GCF_001548335.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa B136-33;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
29653;GCF_001594325.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa YL84;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
49037;GCF_001606045.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa SJTD-1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
139800;GCF_001618925.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa YL84;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
76394;GCF_001632245.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa BL25;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
104353;GCF_001679685.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa MTB-1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
66554;GCF_001721745.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa B136-33;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
20397;GCF_001721765.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa B136-33;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
122169;GCF_001721785.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa MTB-1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
1963;GCF_001721805.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa MTB-1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
62979;GCF_001721825.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa B136-33;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
98986;GCF_001721845.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa B136-33;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
38251;GCF_001722005.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa BWH053;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
92748;GCF_001722025.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa MTB-1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
59392;GCF_001722045.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa MTB-1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
44633;GCF_001729505.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
90700;GCF_001750705.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
99466;GCF_001792835.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
11853;GCF_001792855.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
69403;GCF_001792875.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa PGPR2;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
597;GCF_001870265.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa PGPR2;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
88797;GCF_001874465.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA08;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
1976;GCF_001879525.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
33937;GCF_001900195.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
83476;GCF_001900225.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
43932;GCF_001900265.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
4326;GCF_002075065.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa SCV20265;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
84867;GCF_002085605.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
99165;GCF_002085755.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA04;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
53086;GCF_002104595.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA04;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
88011;GCF_002104615.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA04;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
140554;GCF_002192475.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa BWH053;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
12967;GCF_002192495.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA08;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
12540;GCF_002205335.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa SCV20265;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
107713;GCF_002205355.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa BWH053;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
67514;GCF_002205375.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa YL84;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
143076;GCF_002208645.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
117844;GCF_002215345.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa SCV20265;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
116201;GCF_002223805.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa MTB-1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
90496;GCF_002237405.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa PA103;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
36362;GCF_002237425.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa BWH053;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
104024;GCF_002287725.2;Pseudomonas aeruginosa;Pseudomonas aeruginosa BWH053;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
23424;GCF_002442855.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa M18;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
98358;GCF_002753655.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa BWHPSA009;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
101695;GCF_002812825.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa BWH053;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
84129;GCF_002812845.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa PA103;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
121883;GCF_002812865.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
107606;GCF_002812885.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
16197;GCF_002812905.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA04;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
139992;GCF_002812925.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA04;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
60945;GCF_002946935.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
60114;GCF_002968515.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa PAO1H2O;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
82516;GCF_002968585.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA04;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
78280;GCF_002968655.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa S54485;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
56260;GCF_002968695.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa PAO1H2O;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
82138;GCF_002968755.1;Pseudomonas aeruginosa_A;Pseudomonas aeruginosa PA7;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
117095;GCF_002968955.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA04;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
141895;GCF_002997005.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa BWHPSA009;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
113371;GCF_003025345.2;Pseudomonas aeruginosa_A;Pseudomonas aeruginosa PA7;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
139817;GCF_003028335.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa VRFPA04;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
57026;GCF_003060845.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
83708;GCF_003073615.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa PAO1H2O;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
60223;GCF_003073695.1;Pseudomonas aeruginosa_A;Pseudomonas aeruginosa PA7;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
89787;GCF_003073735.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
31796;GCF_003073795.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
9054;GCF_003073895.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
124355;GCF_003193645.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
73451;GCF_003194245.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
113407;GCF_003204335.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa SCV20265;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
119193;GCF_003206535.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa PAO1H2O;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
107077;GCF_900069025.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa DK1;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
98319;GCF_900070375.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
116870;GCF_900095805.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa MTB-1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
17958;GCF_900149285.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
124775;GCF_900185255.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa C-NN2;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
102426;GCF_900243355.1;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa;Pseudomonas aeruginosa 19BR
129882;GCF_000009225.2;Pseudomonas_E marginalis;Pseudomonas fluorescens SBW25;Pseudomonas fluorescens SBW25;Pseudomonas fluorescens;Pseudomonas fluorescens SBW25
70315;GCF_000012445.1;Pseudomonas_E fluorescens_AR;Pseudomonas fluorescens Pf0-1;Pseudomonas fluorescens Pf0-1;Pseudomonas fluorescens;Pseudomonas fluorescens Pf0-1
138404;GCF_000237065.1;Pseudomonas_E kilonensis;Pseudomonas fluorescens F113;Pseudomonas fluorescens F113;Pseudomonas fluorescens;Pseudomonas fluorescens F113
34573;GCF_000262325.2;Pseudomonas_E sp002966775;Pseudomonas fluorescens PA4C2;Pseudomonas fluorescens A506;Pseudomonas fluorescens;Pseudomonas sp. WCS374
39169;GCF_000293885.2;Pseudomonas_E fluorescens_B;Pseudomonas sp. GM67;Pseudomonas fluorescens NCIMB 11764;Pseudomonas fluorescens;Pseudomonas sp. HC2-25
69151;GCF_000730425.1;Pseudomonas_E fluorescens_X;Pseudomonas fluorescens;Pseudomonas fluorescens;Pseudomonas fluorescens;Pseudomonas fluorescens
27118;GCF_000934565.1;Pseudomonas_E simiae;Pseudomonas fluorescens;Pseudomonas fluorescens;Pseudomonas fluorescens;Pseudomonas fluorescens EGD-AQ6
105873;GCF_000963495.1;Pseudomonas_E simiae;Pseudomonas simiae;Pseudomonas fluorescens PICF7;Pseudomonas fluorescens;Pseudomonas fluorescens EGD-AQ6
121297;GCF_001307155.1;Pseudomonas_E fluorescens_E;Pseudomonas sp. GM67;Pseudomonas fluorescens;Pseudomonas fluorescens;Pseudomonas fluorescens HK44
91293;GCF_001307275.1;Pseudomonas_E fluorescens_AA;Pseudomonas brassicacearum subsp. brassicacearum NFM421;Pseudomonas fluorescens;Pseudomonas fluorescens;Pseudomonas brassicacearum subsp. brassicacearum NFM421
138449;GCF_001708445.1;Pseudomonas_E fluorescens_AN;Pseudomonas sp. TKP;Pseudomonas fluorescens;Pseudomonas fluorescens;Pseudomonas sp. TKP
68344;GCF_001708465.1;Pseudomonas_E fluorescens_AN;Pseudomonas sp. TKP;Pseudomonas fluorescens;Pseudomonas fluorescens;Pseudomonas sp. TKP
135739;GCF_001708485.1;Pseudomonas_E lurida;Pseudomonas simiae;Pseudomonas fluorescens;Pseudomonas fluorescens;Pseudomonas lurida
62966;GCF_001747385.1;Pseudomonas_E sp002966775;Pseudomonas fluorescens FH5;Pseudomonas fluorescens;Pseudomonas fluorescens;Pseudomonas sp. WCS374
34518;GCF_003055645.1;Pseudomonas_E fluorescens_AR;Pseudomonas fluorescens;Pseudomonas fluorescens;Pseudomonas fluorescens;Pseudomonas fluorescens
36845;GCF_900475215.1;Pseudomonas_E fluorescens;Pseudomonas sp. FH1;Pseudomonas fluorescens;Pseudomonas fluorescens;Pseudomonas fluorescens
101703;GCF_001543265.1;Pseudomonas_E sp000346225;Pseudomonas sp. Lz4W;Pseudomonas fragi;Pseudomonas fragi;Pseudomonas sp. Lz4W
126387;GCF_002128325.1;Pseudomonas_E fragi;uncultured Pseudomonadales bacterium HF0500_12O04;Pseudomonas fragi;Pseudomonas fragi;uncultured Pseudomonadales bacterium HF0500_12O04
16421;GCF_000016565.1;Pseudomonas_E mendocina_A;Pseudomonas mendocina ymp;Pseudomonas mendocina ymp;Pseudomonas mendocina;Pseudomonas mendocina ymp
114973;GCF_000204295.1;Pseudomonas_E mendocina;Pseudomonas mendocina NK-01;Pseudomonas mendocina NK-01;Pseudomonas mendocina;Pseudomonas mendocina NK-01
30398;GCF_000733715.2;Pseudomonas_E mendocina;Pseudomonas mendocina NK-01;Pseudomonas mendocina S5.2;Pseudomonas mendocina;Pseudomonas mendocina S5.2
44916;GCF_002442555.1;Pseudomonas_E mendocina_A;Pseudomonas mendocina DLHK;Pseudomonas mendocina;Pseudomonas mendocina;uncultured bacterium
25943;GCF_003008615.1;Pseudomonas_E mendocina_C;Pseudomonas mendocina NK-01;Pseudomonas mendocina;Pseudomonas mendocina;Pseudomonas mendocina
142123;GCF_000007565.2;Pseudomonas_E hunanensis;Pseudomonas putida BIRD-1;Pseudomonas putida KT2440;Pseudomonas putida;Pseudomonas putida H8234
27233;GCF_000016865.1;Pseudomonas_E hunanensis;Pseudomonas putida F1;Pseudomonas putida F1;Pseudomonas putida;Pseudomonas putida HB3267
72097;GCF_000019125.1;Pseudomonas_E putida_P;Pseudomonas putida H8234;Pseudomonas putida GB-1;Pseudomonas putida;Pseudomonas putida H8234
121995;GCF_000019445.1;Pseudomonas_E putida_E;Pseudomonas putida W619;Pseudomonas putida W619;Pseudomonas putida;Pseudomonas putida W619
117143;GCF_000183645.1;Pseudomonas_E hunanensis;Pseudomonas putida BIRD-1;Pseudomonas putida BIRD-1;Pseudomonas putida;Pseudomonas putida S12
135368;GCF_000219705.1;Pseudomonas_E monteilii_B;Pseudomonas putida S16;Pseudomonas putida S16;Pseudomonas putida;Pseudomonas putida
121601;GCF_000226035.2;Pseudomonas_E hunanensis;Pseudomonas putida F1;Pseudomonas putida B6-2;Pseudomonas putida;Pseudomonas putida H8234
43423;GCF_000264665.2;Pseudomonas_E hunanensis;Pseudomonas putida ND6;Pseudomonas putida ND6;Pseudomonas putida;Pseudomonas putida HB3267
72744;GCF_000271965.2;Pseudomonas_E hunanensis;Pseudomonas putida LS46;Pseudomonas putida SJTE-1;Pseudomonas putida;Pseudomonas putida HB3267
29491;GCF_000325725.1;Pseudomonas_E monteilii_B;Pseudomonas putida HB3267;Pseudomonas putida HB3267;Pseudomonas putida;Pseudomonas putida H8234
28378;GCF_000410575.1;Pseudomonas_E putida_H;Pseudomonas putida H8234;Pseudomonas putida H8234;Pseudomonas putida;Pseudomonas putida H8234
61818;GCF_000412675.1;Pseudomonas_E putida;Pseudomonas putida S13.1.2;Pseudomonas putida NBRC 14164;Pseudomonas putida;Pseudomonas putida NBRC 14164
26668;GCF_000495455.2;Pseudomonas_E hunanensis;Pseudomonas putida S12;Pseudomonas putida S12;Pseudomonas putida;Pseudomonas putida S12
94942;GCF_000498395.2;Pseudomonas_E putida_Q;Pseudomonas putida S13.1.2;Pseudomonas putida S13.1.2;Pseudomonas putida;Pseudomonas putida NBRC 14164
134713;GCF_001515585.1;Pseudomonas_E mosselii;Pseudomonas mosselii SJ10;Pseudomonas putida;Pseudomonas putida;Pseudomonas sp. XR3-2-3
1623;GCF_001636055.1;Pseudomonas_E putida_B;Pseudomonas entomophila L48;Pseudomonas putida;Pseudomonas putida;Pseudomonas monteilii SB3078
142529;GCF_001767335.1;Pseudomonas_E hunanensis;Pseudomonas putida S12;Pseudomonas putida JB;Pseudomonas putida;Pseudomonas putida H8234
12850;GCF_001886975.1;Pseudomonas_E putida_P;Pseudomonas putida H8234;Pseudomonas putida;Pseudomonas putida;Pseudomonas putida H8234
142803;GCF_002025705.1;Pseudomonas_E putida_J;Pseudomonas entomophila L48;Pseudomonas putida;Pseudomonas putida;Pseudomonas putida H8234
74138;GCF_002356095.1;Pseudomonas_E putida_H;Pseudomonas putida S13.1.2;Pseudomonas putida;Pseudomonas putida;Pseudomonas putida NBRC 14164
137366;GCF_002736045.1;Pseudomonas_E putida_M;Pseudomonas sp. WCS358;Pseudomonas putida;Pseudomonas putida;Pseudomonas sp. WCS358
12335;GCF_002736125.1;Pseudomonas_E putida_M;Pseudomonas sp. WCS358;Pseudomonas putida;Pseudomonas putida;Pseudomonas sp. WCS358
125648;GCF_002741075.1;Pseudomonas_E putida_T;Pseudomonas parafulva;Pseudomonas putida;Pseudomonas putida;Pseudomonas putida
88960;GCF_003228315.1;Pseudomonas_E putida_S;Pseudomonas sp. UW4;Pseudomonas putida;Pseudomonas putida;Pseudomonas sp. UW4
105784;GCF_000013785.1;Pseudomonas_A stutzeri;Pseudomonas stutzeri A1501;Pseudomonas stutzeri A1501;Pseudomonas stutzeri;Pseudomonas stutzeri DSM 4166
91184;GCF_000195105.1;Pseudomonas_A stutzeri;Pseudomonas stutzeri DSM 4166;Pseudomonas stutzeri DSM 4166;Pseudomonas stutzeri;Pseudomonas stutzeri DSM 4166
15288;GCF_000219605.1;Pseudomonas_A stutzeri;Pseudomonas stutzeri ATCC 17588 = LMG 11199;Pseudomonas stutzeri;Pseudomonas stutzeri;Pseudomonas stutzeri ATCC 17588 = LMG 11199
135621;GCF_000267545.1;Pseudomonas_A stutzeri_U;Pseudomonas stutzeri CCUG 29243;Pseudomonas stutzeri CCUG 29243;Pseudomonas stutzeri;Pseudomonas stutzeri CCUG 29243
91373;GCF_000279165.1;Pseudomonas_A stutzeri_AG;Pseudomonas stutzeri DSM 10701;Pseudomonas stutzeri DSM 10701;Pseudomonas stutzeri;Pseudomonas stutzeri DSM 10701
142527;GCF_000327065.1;Pseudomonas_A stutzeri_AE;Pseudomonas stutzeri RCH2;Pseudomonas stutzeri RCH2;Pseudomonas stutzeri;uncultured Pseudomonas sp.
73031;GCF_000590475.1;Pseudomonas_A stutzeri_D;Pseudomonas stutzeri;Pseudomonas stutzeri;Pseudomonas stutzeri;Pseudomonas stutzeri
116708;GCF_000661915.1;Pseudomonas_A stutzeri_A;Pseudomonas stutzeri;Pseudomonas stutzeri;Pseudomonas stutzeri;Pseudomonas stutzeri
99376;GCF_001038645.1;Pseudomonas_A stutzeri;Pseudomonas stutzeri DSM 4166;Pseudomonas stutzeri;Pseudomonas stutzeri;Pseudomonas stutzeri DSM 4166
55574;GCF_001648195.1;Pseudomonas_A zhaodongensis;Pseudomonas stutzeri;Pseudomonas stutzeri;Pseudomonas stutzeri;Pseudomonas stutzeri CCUG 29243
73393;GCF_003001655.1;Pseudomonas_A stutzeri_AJ;Pseudomonas stutzeri RCH2;Pseudomonas stutzeri;Pseudomonas stutzeri;Pseudomonas stutzeri
25895;GCF_003008495.1;Pseudomonas_A stutzeri;Pseudomonas stutzeri DSM 4166;Pseudomonas stutzeri;Pseudomonas stutzeri;Pseudomonas stutzeri DSM 4166
101895;GCF_000012245.1;Pseudomonas_E syringae_M;Pseudomonas syringae pv. syringae B728a;Pseudomonas syringae pv. syringae B728a;Pseudomonas syringae;Pseudomonas syringae pv. aceris str. M302273
107106;GCF_000344335.2;Pseudomonas_E avellanae;Pseudomonas syringae pv. actinidiae str. CRAFRU8.43;Pseudomonas syringae pv. actinidiae ICMP 9853;Pseudomonas syringae;Pseudomonas syringae pv. actinidiae ICMP 19073
